,logFC,AveExpr,t,P.Value,adj.P.Val,B
mmu-miR-411-5p,-1.76696271991362,8.60371514059208,-5.12871859133712,0.000328733171112688,0.00259021546233266,-0.0778080484270269
mmu-miR-874-3p,1.06815046944906,5.44667083295805,5.09758215349164,0.000345107637615531,0.00259021546233266,-0.0983344096989756
mmu-let-7d-3p,1.16087841181964,10.8208065253807,5.08913325674598,0.000349698181995324,0.00259021546233266,-0.10497789053057
mmu-miR-152-5p,-1.21881144912654,6.51715469495533,-5.08467990831161,0.000352143781581614,0.00259021546233266,-0.122298311007586
mmu-miR-7a-1-3p,-3.22440983593843,2.18458483869531,-5.06816102073025,0.000361374495425115,0.00259021546233266,0.383357736711718
mmu-miR-126a-5p,-4.41853187849192,13.5306623392383,-5.06544805201723,0.000362914803788367,0.00259021546233266,-0.081829596663531
mmu-miR-328-3p,1.3589937760819,10.7647591743476,5.03634383500317,0.00037988263498016,0.00265777094772266,-0.192761888703387
mmu-miR-125a-5p,1.22852522209365,14.0161958545736,5.0245703200902,0.00038698313249808,0.00265777094772266,-0.138194199077015
mmu-miR-144-5p,-3.00307354716399,5.63193821844608,-5.00433279195773,0.00039951803185429,0.00269304747398077,0.063700362396629
mmu-miR-3068-3p,-1.96659311725881,4.72177967961755,-4.92238974962575,0.000454830923343753,0.00301015374722047,-0.028079458274834
mmu-miR-199a-3p/mmu-miR-199b-3p,-2.51411119713306,12.2545356853091,-4.87400130139259,0.000491243644828042,0.00313854958400444,-0.425573568405279
mmu-miR-598-3p,-3.23618715331721,1.41789230731026,-4.87370460737673,0.000491476171121574,0.00313854958400444,0.103413611883756
mmu-miR-223-3p,-2.42930161662447,6.26651731543272,-4.76248752808939,0.000587381447495601,0.00362935727322149,-0.519150745108766
mmu-miR-101a-5p,-3.94843744813348,3.1564652881338,-4.76154381416926,0.000588274942637548,0.00362935727322149,-0.122272122257622
mmu-miR-542-3p,-4.08031067634184,2.86388107052477,-4.69467802822441,0.000655374433025541,0.00396149151090903,-0.226040004744623
mmu-miR-423-5p,1.4191508628272,9.92685805998639,4.68408620527579,0.000666721983511834,0.00396149151090903,-0.803440043769251
mmu-miR-140-5p,-1.92110400134235,6.38259251099162,-4.6766980964631,0.000674759543066923,0.00396149151090903,-0.738922142990893
mmu-miR-503-3p,0.71175573390042,4.81060910085972,4.54560781128261,0.000835663177256247,0.00468439532074398,-0.919798115282362
mmu-miR-322-5p,-3.76852193318346,9.13011169398148,-4.53954296211141,0.000844020613160081,0.00468439532074398,-1.0352973542773
mmu-miR-27a-3p,-1.78035867182974,12.1166920760902,-4.53414586975694,0.000851531696262787,0.00468439532074398,-0.998986950799893
mmu-miR-299a-3p,-2.96881588758565,1.12901281344758,-4.5298097258928,0.000857617110844603,0.00468439532074398,-0.426738789976173
mmu-miR-423-3p,1.312688896809,10.4292326473125,4.52653893403603,0.000862237600246832,0.00468439532074398,-1.05481837644678
mmu-miR-208a-5p,1.49755891460696,7.39292312394525,4.50668663501685,0.000890848538358781,0.00476865982297936,-1.13866756398816
mmu-miR-744-5p,1.2296727831426,9.32222404293961,4.47848274326131,0.000933220822589158,0.0047858026838828,-1.1700677835856
mmu-miR-361-3p,0.774328303438582,7.49397590607195,4.4675941825502,0.00095014051136746,0.0047858026838828,-1.20626468013233
mmu-miR-547-3p,-3.36281146084764,2.71285145216184,-4.46589945342967,0.000952802751321834,0.0047858026838828,-0.597908325256661
mmu-miR-29c-3p,-2.6886173438218,8.49328825301105,-4.46056181458708,0.000961238869551609,0.0047858026838828,-1.1869224395703
mmu-miR-700-5p,0.955570464029111,4.48908293375265,4.45949301573701,0.000962937496942082,0.0047858026838828,-1.00899149735686
mmu-miR-574-5p,1.02004051834672,5.76696084067563,4.45273584479195,0.000973749707684897,0.0047858026838828,-1.20382945590254
mmu-miR-330-3p,1.07523027885783,4.91546355159715,4.4451218152487,0.000986085717832995,0.0047858026838828,-1.12109578041309
mmu-miR-18a-5p,-3.04771674666378,2.22772160147217,-4.42604318993071,0.00101772155132741,0.0048124826285836,-0.647928208799613
mmu-let-7c-1-3p,-3.05960153127401,3.11129925436568,-4.42170997641453,0.00102505399510969,0.0048124826285836,-0.682730089696318
mmu-miR-143-3p,-3.10974373624112,15.9280623239435,-4.41759087067922,0.00103207548887184,0.0048124826285836,-1.11784113125555
mmu-miR-320-3p,1.25294967613902,9.8865450488305,4.41039241873278,0.00104446738367611,0.0048124826285836,-1.27040288678698
mmu-miR-488-3p,-3.67461539820253,2.7307374602778,-4.38614673724537,0.00108736519317412,0.00494751162894226,-0.73031825875097
mmu-miR-106b-3p,0.918465213551229,6.78821272210407,4.32874395193896,0.00119645108862167,0.00537664439825049,-1.44264485966829
mmu-miR-1249-3p,1.07726810855564,6.91278189148751,4.32056310330278,0.00121290657422764,0.00538412186608369,-1.45778453187733
mmu-miR-1306-5p,1.19248052303475,3.67858153532937,4.31293377727122,0.0012284661762047,0.00538749021853628,-1.04665667958471
mmu-miR-674-5p,1.01473424210096,6.89704240772977,4.26857247826065,0.00132317229313877,0.00566254231461439,-1.5476866191516
mmu-miR-93-3p,1.11297136647937,4.30647110858912,4.26531635219546,0.00133041798351841,0.00566254231461439,-1.29821222914166
mmu-miR-329-3p,-3.7043572586037,2.50714384268817,-4.26199418005138,0.0013378534040023,0.00566254231461439,-0.932653806207306
mmu-miR-338-3p,-1.15912756571514,6.02019864823297,-4.21709075876474,0.00144272445771528,0.00586190277524558,-1.53879580314277
mmu-miR-21a-3p,-1.79666958944607,5.94898768532678,-4.21632707729359,0.00144458054271162,0.00586190277524558,-1.48172758734176
mmu-miR-877-3p,1.08945554265838,4.03550273159663,4.21628717457485,0.00144467759256628,0.00586190277524558,-1.3109981523766
mmu-miR-125a-3p,0.872954805706274,4.99074637428039,4.21436055021837,0.00144937156530797,0.00586190277524558,-1.52571954396037
mmu-miR-490-5p,1.10945401606615,4.14518906292057,4.18022138230083,0.00153524172988219,0.00598578175237269,-1.40481461984817
mmu-miR-335-5p,-4.41475815829528,4.98916388155884,-4.17855817953734,0.00153955849982943,0.00598578175237269,-1.13987650090116
mmu-miR-652-3p,0.820969547954867,8.80668783491324,4.17841441319891,0.00153993223342292,0.00598578175237269,-1.69845096917643
mmu-miR-27b-3p,-1.86517462674353,16.2705466495855,-4.1761701063985,0.00154577880418416,0.00598578175237269,-1.52610622166352
mmu-miR-380-3p,-2.84405992198825,1.04927683697386,-4.11647926012251,0.00171008450634652,0.00655232379273826,-1.092643293272
mmu-miR-3057-5p,0.859678508895608,5.98653749629549,4.07856265545322,0.00182382383289107,0.0069153320330453,-1.86085482423
mmu-miR-499-5p,-3.20881668658658,8.51243550887647,-4.07110730726339,0.0018471000900191,0.00693138590481393,-1.85499810487033
mmu-miR-214-5p,-0.856791067721551,6.7152446720464,-4.04132595817037,0.00194321033116251,0.0072046864543412,-1.92285893938198
