miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq
mmu-miR-33-5p	39	33	20	39	36	26	52	56	77	32
mmu-miR-3086-5p	20	9	17	11	17	19	16	17	10	12
mmu-miR-27b-5p	304	249	374	232	262	481	569	723	859	361
mmu-miR-23a-5p	18	17	15	0	9	0	14	20	13	8
mmu-miR-351-5p	3114	3456	2757	1887	3081	3260	4735	5189	7414	3129
mmu-miR-15a-5p	2939	2229	2112	1484	2055	1517	3189	2456	3629	2281
mmu-miR-204-5p	2795	2859	2458	1642	2561	2683	3950	3733	4299	2773
mmu-miR-490-5p	32	67	32	27	51	26	37	48	45	33
mmu-miR-155-5p	761	623	586	432	512	347	695	558	779	469
mmu-miR-488-5p	21	9	10	0	19	11	14	10	14	6
mmu-miR-29a-5p	243	216	173	128	207	147	274	229	271	131
mmu-miR-130a-5p	165	119	107	0	141	0	126	151	137	76
mmu-miR-181d-5p	1828	1638	1312	895	1340	1855	2079	1753	2159	1335
mmu-miR-411-5p	1149	902	850	611	999	2374	1950	2516	3843	1569
mmu-miR-208a-5p	418	463	386	272	352	109	548	327	458	408
mmu-miR-301a-5p	17	10	0	13	15	7	14	16	20	7
mmu-miR-501-5p	0	45	0	0	0	31	49	49	39	31
mmu-miR-671-5p	72	56	67	33	75	49	95	98	154	86
mmu-miR-10a-5p	62932	24910	114944	66066	29211	52891	65171	58580	49727	8777
mmu-miR-362-5p	16	21	15	13	29	8	26	28	22	20
mmu-miR-425-5p	854	816	723	494	720	813	1102	1150	1732	798
mmu-miR-449a-5p	0	0	0	9	19	19	15	11	8	9
mmu-miR-146a-5p	2653	2484	2348	1246	2437	3497	3760	2570	3577	2680
mmu-miR-1943-5p	195	179	139	104	140	103	192	133	193	123
mmu-miR-22-5p	670	555	450	271	424	187	622	508	697	501
mmu-miR-1955-5p	27	12	0	19	28	16	21	24	26	24
mmu-miR-331-5p	40	35	33	51	60	34	43	23	31	38
mmu-miR-1934-5p	22	20	24	34	32	0	26	31	29	17
mmu-miR-330-5p	193	223	173	139	173	165	239	252	314	187
mmu-miR-31-5p	649	735	409	304	652	473	906	862	967	547
mmu-miR-145a-5p	3792	3229	2732	1346	2738	1353	4527	3643	4744	3630
mmu-miR-150-5p	8146	6141	8098	5172	6285	1576	11892	6487	5734	7459
mmu-miR-3068-5p	41	26	18	24	32	39	43	57	71	16
mmu-miR-101a-5p	180	91	118	98	136	83	186	119	130	92
mmu-miR-148b-5p	147	116	110	93	128	46	139	169	269	133
mmu-miR-196b-5p	0	22	23	0	17	11	0	22	12	0
mmu-miR-382-5p	19	14	16	16	16	24	23	20	16	8
mmu-miR-154-5p	12	15	16	8	16	24	35	37	41	34
mmu-miR-187-5p	32	16	26	0	27	0	34	32	23	0
mmu-miR-222-5p	24	40	34	26	44	56	46	72	80	39
mmu-miR-505-5p	355	255	232	195	309	154	308	455	432	253
mmu-miR-409-5p	0	11	0	0	10	0	0	16	19	8
mmu-miR-30e-5p	217057	129661	138620	101401	135763	110597	130202	95332	141520	110535
mmu-miR-345-5p	341	239	254	177	238	195	386	291	395	277
mmu-miR-190b-5p	41	21	25	22	24	23	34	17	28	20
mmu-miR-20a-5p	630	445	382	255	425	320	547	358	668	404
mmu-miR-126a-5p	213668	145177	140970	97159	126116	186699	159075	135601	270193	147469
mmu-miR-497a-5p	1594	1579	1479	1095	1671	1079	4229	4396	4344	2858
mmu-miR-872-5p	526	491	441	284	440	354	556	614	817	420
mmu-miR-485-5p	22	14	16	13	28	10	15	28	17	12
mmu-miR-376b-5p	26	20	19	21	21	12	48	42	48	26
mmu-miR-17-5p	400	317	252	186	315	229	364	380	557	269
mmu-miR-29b-1-5p	23	19	15	13	21	14	21	15	11	11
mmu-miR-450b-5p	234	130	139	97	149	134	153	152	318	122
mmu-miR-183-5p	264	309	226	208	325	205	304	328	342	184
mmu-miR-34c-5p	191	243	217	137	256	526	892	1552	2227	791
mmu-miR-455-5p	1463	626	566	1342	684	436	648	783	646	356
mmu-miR-700-5p	34	42	36	32	44	44	61	61	63	32
mmu-miR-100-5p	3972	3125	2748	1677	2605	3854	5556	4945	6076	4390
mmu-miR-350-5p	83	90	68	42	86	92	117	93	131	74
mmu-miR-877-5p	52	40	41	30	39	23	46	68	68	42
mmu-miR-214-5p	128	127	100	71	115	252	536	637	746	324
mmu-miR-674-5p	201	263	215	165	263	118	403	320	399	249
mmu-miR-99a-5p	7617	5412	5426	3333	4864	9596	8667	9378	12882	7241
mmu-miR-30b-5p	20220	12944	13905	10095	14566	4679	15025	12136	17859	11592
mmu-miR-1947-5p	98	73	80	53	85	64	102	71	82	67
mmu-miR-212-5p	68	58	32	26	73	46	83	100	219	68
mmu-miR-32-5p	151	105	97	119	95	76	126	106	160	101
mmu-miR-221-5p	50	40	33	35	29	50	63	61	100	41
mmu-miR-503-5p	0	19	0	14	0	8	17	16	20	15
mmu-let-7b-5p	12324	13264	11818	6909	9929	7979	18552	15434	17795	12520
mmu-miR-376a-5p	0	9	11	18	14	0	25	17	27	11
mmu-miR-99b-5p	12981	12702	10516	6658	11013	12388	21757	20346	26345	17739
mmu-miR-182-5p	154	136	85	77	77	194	145	149	214	106
mmu-miR-30d-5p	177183	140093	123783	80016	121042	117248	146801	112743	156159	110126
mmu-miR-1198-5p	1571	1768	1414	1222	1457	876	2104	1366	1425	891
mmu-miR-3098-5p	33	20	34	35	35	16	24	26	24	19
mmu-miR-335-5p	348	393	356	256	556	436	477	441	1309	362
mmu-miR-134-5p	28	25	39	21	36	46	58	70	90	48
mmu-miR-672-5p	20	7	9	10	21	12	23	15	11	8
mmu-miR-92a-1-5p	64	87	54	51	60	37	91	68	73	58
mmu-miR-93-5p	2933	2467	2113	1560	2314	2708	3503	2835	4177	2397
mmu-miR-378a-5p	2310	2472	1675	1012	1727	900	2300	1621	2256	2018
mmu-miR-151-5p	19860	17502	18304	10956	14365	9468	22544	18129	24132	16500
mmu-miR-1306-5p	14	32	21	16	28	15	35	27	33	22
mmu-miR-185-5p	512	408	312	214	342	195	440	320	370	321
mmu-miR-195a-5p	3102	1907	2357	1345	2063	2881	4936	5111	7117	3066
mmu-miR-34b-5p	20	13	8	11	18	32	43	85	100	42
mmu-miR-338-5p	22	24	44	20	26	20	35	17	19	16
mmu-miR-24-2-5p	3155	2190	2249	1520	2287	1455	3508	4150	6401	2643
mmu-miR-192-5p	13971	9317	11119	7282	8832	12744	10356	8165	14468	8399
mmu-miR-199b-5p	204	203	133	113	210	246	532	664	824	435
mmu-miR-140-5p	371	276	228	160	259	470	518	665	852	495
mmu-miR-3061-5p	20	19	28	16	20	17	32	17	28	15
mmu-miR-676-5p	208	152	121	107	194	243	244	222	231	174
mmu-miR-181c-5p	12238	9853	7713	4722	8457	11318	13821	11331	17486	8428
mmu-miR-379-5p	112	59	62	30	70	146	154	155	247	112
mmu-miR-190a-5p	270	195	195	124	201	150	341	225	362	200
mmu-miR-540-5p	49	22	37	0	47	29	35	53	25	33
mmu-miR-146b-5p	526	431	371	186	336	2047	694	1113	2672	676
mmu-let-7g-5p	26838	22112	21487	14137	17639	17602	24779	20455	29401	18209
mmu-miR-152-5p	381	284	232	139	276	444	472	454	681	337
mmu-miR-673-5p	70	63	51	70	94	102	114	135	134	100
mmu-miR-215-5p	775	332	589	548	343	987	681	663	883	491
mmu-miR-296-5p	26	23	21	22	23	27	43	40	38	18
mmu-miR-666-5p	18	21	20	21	25	19	35	37	32	24
mmu-miR-504-5p	134	183	97	96	120	69	188	133	194	97
mmu-let-7d-5p	13828	12961	14405	8440	10015	5522	15201	11684	13675	9652
mmu-miR-201-5p	53	38	28	28	41	37	44	45	72	39
mmu-miR-322-5p	6934	5388	4699	3195	4723	4653	7798	6733	10939	5324
mmu-miR-542-5p	35	33	32	23	23	28	43	39	48	28
mmu-miR-223-5p	21	38	9	18	34	21	0	42	37	17
mmu-miR-29c-5p	96	90	80	37	69	39	78	74	88	61
mmu-miR-139-5p	894	975	742	487	685	364	1072	606	904	714
mmu-miR-128-1-5p	58	53	33	28	52	44	52	41	43	36
mmu-miR-329-5p	36	16	26	23	34	28	41	54	54	28
mmu-miR-106b-5p	423	243	260	206	289	196	392	306	573	248
mmu-miR-299a-5p	12	7	0	0	0	12	13	17	19	6
mmu-miR-10b-5p	34592	12003	60126	20761	12408	71590	46007	76292	59906	23519
mmu-miR-29b-2-5p	22	30	21	23	25	15	29	12	32	18
mmu-miR-34a-5p	1356	1079	854	514	674	744	1441	916	1359	1056
mmu-miR-541-5p	408	454	435	295	427	781	892	1083	1300	661
mmu-miR-28a-5p	1362	1131	1295	804	1182	708	1831	1681	2027	1325
