miRNA	PO1	PO2	PO3	PO4	PO5	PDE5.1	PDE5.2	PDE5.3	PDE5.4	PDE5.5
mmu-miR-532-3p	20	75	79	69	62	55	58	49	38	39
mmu-miR-874-3p	54	160	102	111	89	90	142	62	53	49
mmu-miR-129-2-3p	0	37	39	25	30	30	54	0	0	0
mmu-miR-125a-3p	64	104	82	75	58	74	68	42	39	38
mmu-miR-132-3p	1828	1971	2658	4547	1158	1597	1147	842	950	608
mmu-miR-1933-3p	43	25	34	58	22	15	18	10	10	0
mmu-miR-326-3p	69	201	234	241	128	111	161	91	107	68
mmu-miR-499-3p	37	89	65	70	59	24	71	0	0	0
mmu-miR-92b-3p	560	758	762	706	612	592	421	317	481	437
mmu-miR-15b-3p	66	70	93	146	82	8	25	0	0	0
mmu-miR-18a-3p	17	15	15	29	14	13	18	9	12	0
mmu-miR-136-3p	65	75	105	149	46	8	9	0	0	0
mmu-miR-298-5p	154	159	198	259	81	83	74	61	93	58
mmu-miR-193b-5p	0	15	18	0	11	0	0	6	5	11
mmu-miR-186-5p	8948	13588	11280	16521	10115	6268	8343	1570	1070	497
mmu-miR-342-5p	15	23	28	34	13	26	28	8	11	11
mmu-miR-582-5p	29	41	58	70	24	6	8	0	0	0
mmu-let-7i-5p	25002	26755	28043	37775	19578	12590	13883	3680	3332	1862
mmu-miR-340-5p	1335	1090	1275	2372	836	111	160	28	19	51
mmu-miR-470-5p	20	29	20	28	18	15	0	0	8	0
mmu-miR-142a-5p	1087	1246	1846	3862	1142	56	68	10	5	19
mmu-miR-361-5p	737	970	901	1123	643	642	592	249	223	133
mmu-miR-149-5p	2590	16596	8921	7989	10921	8845	9700	6015	5065	4432
mmu-miR-193a-5p	8	13	22	18	11	11	8	13	4	8
mmu-miR-148a-5p	232	223	262	349	185	63	121	30	20	6
mmu-miR-21a-5p	44628	39963	67466	137223	29524	3220	5022	191	227	362
mmu-miR-423-5p	1114	2865	2262	2147	1847	2197	1758	1562	1799	1880
mmu-miR-224-5p	105	251	309	339	141	150	103	25	26	15
mmu-miR-1247-5p	403	676	774	1379	420	286	219	351	448	516
mmu-miR-25-5p	15	43	31	31	16	19	28	9	13	14
mmu-let-7e-5p	2027	3024	3025	3829	1701	2612	788	1346	1524	1246
mmu-miR-144-5p	460	393	519	1169	508	54	132	6	7	3
mmu-miR-339-5p	219	396	341	417	238	152	212	83	109	82
mmu-miR-369-5p	16	15	32	35	25	9	12	3	0	0
mmu-miR-486a-5p	142063	148879	92363	122235	108701	89404	95505	80395	69665	78216
mmu-miR-98-5p	2886	2658	2275	3768	1750	825	1145	42	30	24
mmu-miR-143-5p	151	273	212	376	263	132	174	50	74	46
mmu-miR-130b-5p	32	30	33	32	29	19	21	10	8	5
mmu-miR-23b-5p	0	12	20	16	16	0	19	0	3	9
mmu-miR-24-1-5p	51	102	91	155	67	24	47	16	8	5
mmu-miR-708-5p	20	20	13	16	13	16	0	0	0	0
mmu-miR-3086-5p	19	16	17	10	12	14	23	0	0	0
mmu-miR-27b-5p	481	569	723	859	361	255	289	79	70	39
mmu-miR-23a-5p	0	14	20	13	8	5	13	7	0	10
mmu-miR-351-5p	3260	4735	5189	7414	3129	3018	3271	2421	2887	2068
mmu-miR-15a-5p	1517	3189	2456	3629	2281	517	1144	60	34	33
mmu-miR-204-5p	2683	3950	3733	4299	2773	1834	2384	689	688	308
mmu-miR-490-5p	26	37	48	45	33	29	46	30	38	19
mmu-miR-155-5p	347	695	558	779	469	431	466	176	154	112
mmu-miR-29a-5p	147	274	229	271	131	85	128	6	0	0
mmu-miR-181d-5p	1855	2079	1753	2159	1335	1156	1230	439	456	237
mmu-miR-411-5p	2374	1950	2516	3843	1569	657	675	146	145	91
mmu-miR-208a-5p	109	548	327	458	408	395	471	344	236	246
mmu-miR-501-5p	31	49	49	39	31	39	0	13	14	10
mmu-miR-671-5p	49	95	98	154	86	60	81	25	19	25
mmu-miR-10a-5p	52891	65171	58580	49727	8777	32743	50125	1932	1964	2037
mmu-miR-362-5p	8	26	28	22	20	13	27	0	0	5
mmu-miR-425-5p	813	1102	1150	1732	798	575	700	231	209	92
mmu-miR-146a-5p	3497	3760	2570	3577	2680	1935	2439	487	234	132
mmu-miR-1943-5p	103	192	133	193	123	138	133	109	51	87
mmu-miR-22-5p	187	622	508	697	501	224	272	21	14	9
mmu-miR-1955-5p	16	21	24	26	24	7	33	7	0	12
mmu-miR-331-5p	34	43	23	31	38	28	45	10	18	17
mmu-miR-1934-5p	0	26	31	29	17	19	30	11	10	8
mmu-miR-330-5p	165	239	252	314	187	113	150	54	51	46
mmu-miR-31-5p	473	906	862	967	547	452	398	174	215	169
